zz1R,1.24E+00,,2.76E-02,,1.1115
fv1 ,8.05E+00,,1.09E-01,,0.6769
fs1 ,7.14E+00,,3.19E-01,,2.2356
off1,3.92E-01,,1.71E-01,,21.8748
xx2R,-4.66E-01,,2.41E-02,,2.5875
xy2 ,3.58E-03,,1.23E-02,,171.7591
xz2R,-1.60E-01,,1.32E-02,,4.1141
yz2 ,3.31E-03,,9.89E-03,,149.3633
zz2R,1.08E+00,,2.18E-02,,1.0119
mx2R,2.22E+00,,1.08E-01,,2.4256
my2 ,1.36E-01,,8.99E-02,,32.9494
fv2 ,5.53E+00,,1.15E-01,,1.0416
fs2 ,8.26E+00,,2.79E-01,,1.6916
off2,1.37E+00,,1.22E+00,,44.5933
xx3R,1.27E-01,,2.27E-02,,8.9567
xy3 ,6.39E-04,,1.27E-02,,990.9884
xz3 ,-3.72E-03,,1.39E-02,,186.9976
yz3 ,5.99E-03,,8.22E-03,,68.6018
zz3R,1.07E-01,,1.75E-02,,8.1704
mx3 ,7.86E-02,,5.03E-02,,31.9877
my3R,-6.01E-01,,2.54E-02,,2.1079
ia3 ,9.88E-02,,1.43E-02,,7.2114
fv3 ,1.97E+00,,6.54E-02,,1.6612
fs3 ,6.34E+00,,2.16E-01,,1.7063
off3,3.26E-01,,4.13E-01,,63.2178
xx4R,4.64E-03,,9.62E-03,,103.6509
xy4 ,-6.87E-03,,4.12E-03,,30.0017
xz4 ,-1.78E-03,,4.72E-03,,132.0915
yz4 ,-5.99E-03,,4.74E-03,,39.5343
zz4R,1.16E-03,,5.02E-03,,216.3227
mx4 ,-2.19E-02,,1.03E-02,,23.3969
my4R,-7.26E-03,,1.12E-02,,77.0029
ia4 ,3.13E-02,,4.47E-03,,7.1472
fv4 ,1.11E+00,,3.12E-02,,1.4061
fs4 ,2.48E+00,,1.13E-01,,2.2869
off4,-1.02E-01,,5.73E-02,,28.1788
xx5R,2.93E-03,,4.49E-03,,76.8254
xy5 ,5.50E-04,,2.24E-03,,203.3751
xz5 ,9.98E-04,,2.34E-03,,117.127
yz5 ,7.16E-04,,2.35E-03,,163.805
zz5R,1.09E-03,,4.71E-03,,217.0015
mx5 ,-1.53E-03,,9.44E-03,,307.6661
my5R,-3.09E-02,,7.78E-03,,12.5921
ia5 ,4.68E-02,,7.39E-03,,7.8959
fv5 ,1.86E+00,,6.78E-02,,1.8268
fs5 ,3.03E+00,,1.79E-01,,2.9482
off5,-2.88E-02,,1.12E-01,,194.4682
xx6R,-1.36E-03,,1.93E-03,,71.0549
xy6 ,-1.64E-06,,1.02E-03,,31015.493
xz6 ,2.26E-03,,1.33E-03,,29.4666
yz6 ,8.96E-04,,1.24E-03,,68.8983
zz6 ,1.85E-03,,1.67E-03,,45.0712
mx6 ,-3.16E-03,,5.26E-03,,83.3765
my6 ,-4.98E-03,,5.09E-03,,51.0892
ia6 ,1.05E-02,,2.50E-03,,11.8534
fv6 ,6.50E-01,,2.06E-02,,1.5859
fs6 ,2.82E-01,,1.62E-01,,28.7752
off6,1.27E-01,,6.27E-02,,24.669
iam6,9.64E-03,,2.51E-03,,12.9987
fvm6,6.16E-01,,1.98E-02,,1.6093
fsm6,1.95E+00,,1.35E-01,,3.4705
