,QR-based,,SVD-based
Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.188241,,1.188241
fv1,8.736807,,8.736807
fs1,4.822528,,4.822528
off1,0.532371,,0.532371
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.445813,,-0.445813
Ixy2,-0.017758,,-0.017758
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.139272,,-0.139272
Iyz2,0.010813,,0.010813
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.967119,,0.967119
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.38055,,2.38055
my2,-0.13898,,-0.13898
fv2,6.126811,,6.126811
fs2,6.440346,,6.440346
off2 ,1.56391,,1.56391
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.1241,,0.1241
Ixy3,0.002022,,0.002022
Ixz3,0.011217,,0.011217
Iyz3,0.017072,,0.017072
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.069824,,0.069824
mx3,0.159593,,0.159593
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.576236,,-0.576236
Ia3,0.126185,,0.126185
fv3,2.323738,,2.323738
fs3,4.876366,,4.876366
off3 ,1.224201,,1.224201
Ixx4 - 1.0*Iyy4 + 1.0*Iyy5,-0.001304,,-0.001304
Ixy4,-0.00806,,-0.00806
Ixz4,0.002519,,0.002519
Iyz4,-0.009262,,-0.009262
Izz4 + 1.0*Iyy5,-0.006562,,-0.006562
mx4,-0.015478,,-0.015478
my4 + 1.0*mz5,-0.000988,,-0.000988
Ia4,0.032286,,0.032286
fv4,1.324322,,1.324322
fs4,1.546136,,1.546136
off4,-0.141695,,-0.141695
Ixx5 - 1.0*Iyy5 + 1.0*Iyy6,0.013287,,0.013287
Ixy5,-0.007842,,-0.007842
Ixz5,0.003238,,0.003238
Iyz5,0.006432,,0.006432
Izz5 + 1.0*Iyy6,0.006635,,0.006635
mx5,0.026092,,0.026092
my5 - 1.0*mz6,-0.025315,,-0.025315
Ia5,0.039661,,0.039661
fv5,2.3055,,2.3055
fs5,1.900841,,1.900841
off5,-0.293968,,-0.293968
Ixx6 - 1.0*Iyy6,-0.004215,,-0.004215
Ixy6,0.001673,,0.001673
Ixz6,-0.002099,,-0.002099
Iyz6,-0.00822,,-0.00822
Izz6,0.001242,,0.001242
mx6,0.024498,,0.024498
my6,-0.000423,,-0.000423
Ia6,0.008558,,0.008558
fv6,0.602153,,0.602153
fs6,2.301928,,2.301928
off6,0.263465,,0.263465
Iam6,0.012909,,0.012909
fvm6,1.185582,,1.185582
fsm6,0.077616,,0.077616
