Ixy6,-0.000226,Iyy2 + 1.0*Iyy3 + 1.0*Izz1 + 0.05185*m4 + 0.05185*m5 + 0.07*mz3 + 0.05185*m6 + 0.05185*m3 + 1.0*Ia1,1.085882
Iyz6,-0.004951,fv1,8.185702
Ixz6,-0.003964,fs1,6.672461
Izz6,0.008449,off1,0.123718
Iyy6 + 1.0*Izz5,0.001392,Ixx2 + 1.0*Iyy3 + 1.0*Izz1 + 0.001225*m4 + 0.001225*m5 + 0.07*mz3 + 0.001225*m6 + 0.001225*m3 + 1.0*Ia1,0.703929
Ixy5,-0.004015,Ixy2,-0.043879
Ixz5,0.010375,Ixz2 - 0.007875*m4 - 0.007875*m5 - 0.225*mz3 - 0.007875*m6 - 0.007875*m3,-0.155651
Iyz5,0.004273,Iyz2,0.019715
Ixx6 + 1.0*Izz5,-0.008467,Izz2 + 1.0*Ia2 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6 + 0.050625*m3,0.908992
Iam6,0.02197,mx2 + 0.225*m4 + 0.225*m5 + 0.225*m6 + 0.225*m3,2.243636
Ixz4,-0.018829,my2,-0.321953
Iyz4,0.001874,fv2,5.534202
Ixy4,-0.022524,fs2,8.692592
Izz4 + 1.0*Iyy3 - 1.0*Ixx4 - 0.45*mz4 - 1.0*Ixx3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.133064,off2,1.404482
Ia6,-0.006224,Iyy4 - 1.0*Iyy3 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.157732
mx6,0.020196,Ixy3,-0.014522
my6,0.002277,Ixz3,0.045151
Iyy5 - 1.0*Iyy3 + 1.0*Ixx4 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.136746,Iyz3,0.008147
mx5,0.036427,Izz3 + 1.0*Iyy3 - 1.0*Ixx3,-0.129141
Iyz3,0.008147,mx3,0.305658
Ia3,0.167944,my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.590153
Ia5,0.049958,Ia3,0.167944
my5 - 1.0*mz6,-0.027811,fv3,1.84126
Iyy4 - 1.0*Iyy3 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.157732,fs3,6.740327
Ia4,0.032592,off3,2.514389
Ixy2,-0.043879,Iyy5 - 1.0*Iyy3 + 1.0*Ixx4 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.136746
Iyz2,0.019715,Ixy4,-0.022524
Ixy3,-0.014522,Ixz4,-0.018829
mx3,0.305658,Iyz4,0.001874
Ixz3,0.045151,Izz4 + 1.0*Iyy3 - 1.0*Ixx4 - 0.45*mz4 - 1.0*Ixx3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.133064
Izz2 + 1.0*Ia2 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6 + 0.050625*m3,0.908992,mx4,-0.040031
Ixz2 - 0.007875*m4 - 0.007875*m5 - 0.225*mz3 - 0.007875*m6 - 0.007875*m3,-0.155651,mz5 + 1.0*my4,0.024599
mx4,-0.040031,Ia4,0.032592
Ixx5 - 1.0*Izz5 - 1.0*Iyy3 + 1.0*Ixx4 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.13741,fv4,1.091296
Iyy2 + 1.0*Iyy3 + 1.0*Izz1 + 0.05185*m4 + 0.05185*m5 + 0.07*mz3 + 0.05185*m6 + 0.05185*m3 + 1.0*Ia1,1.085882,fs4,2.494557
mz5 + 1.0*my4,0.024599,off4,-0.205319
Ixx2 + 1.0*Iyy3 + 1.0*Izz1 + 0.001225*m4 + 0.001225*m5 + 0.07*mz3 + 0.001225*m6 + 0.001225*m3 + 1.0*Ia1,0.703929,Ixx5 - 1.0*Izz5 - 1.0*Iyy3 + 1.0*Ixx4 + 0.45*mz4 + 1.0*Ixx3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.13741
mx2 + 0.225*m4 + 0.225*m5 + 0.225*m6 + 0.225*m3,2.243636,Ixy5,-0.004015
Izz3 + 1.0*Iyy3 - 1.0*Ixx3,-0.129141,Ixz5,0.010375
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.590153,Iyz5,0.004273
fvm6,1.270854,Iyy6 + 1.0*Izz5,0.001392
fv6,0.563734,mx5,0.036427
fv4,1.091296,my5 - 1.0*mz6,-0.027811
my2,-0.321953,Ia5,0.049958
fv3,1.84126,fv5,2.171241
fv1,8.185702,fs5,2.855031
fv5,2.171241,off5,-0.282548
fv2,5.534202,Ixx6 + 1.0*Izz5,-0.008467
off1,0.123718,Ixy6,-0.000226
off6,0.087737,Ixz6,-0.003964
off4,-0.205319,Iyz6,-0.004951
off5,-0.282548,Izz6,0.008449
fsm6,-0.599682,mx6,0.020196
fs5,2.855031,my6,0.002277
fs2,8.692592,Ia6,-0.006224
fs3,6.740327,fv6,0.563734
fs1,6.672461,fs6,3.422291
fs4,2.494557,off6,0.087737
fs6,3.422291,Iam6,0.02197
off3,2.514389,fvm6,1.270854
off2,1.404482,fsm6,-0.599682
