fs1,-0.22848
fs2,0.28596
fs3,0
fs4,-0.88319
fs5,2.40749
fs6,1.99755
fsm6,0.00622
fv1,0.045
fv2,-0.3924
fv3,-0.82898
fv4,0
fv5,-0.012015
fv6,0
fvm6,-0.000228
Ia1 + 1.0*Iyy3 + 0.001225*m6 + 0.07*mz3 + 0.001225*m3 + 0.001225*m4 + 1.0*Izz1 + 0.001225*m5 + 1.0*Ixx2,0.129586
Ia2 + 1.0*Izz2 + 0.050625*m6 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5,0.010125
Ia3,-0.000233
Ia4,-0.052093
Ia5,0.119461
Ia6,1.95
Iam6,0.09682
Ixx5 + 0.45*my3 - 1.0*Iyy3 - 1.0*Izz5 - 0.050625*m6 + 1.0*Ixx4 - 0.050625*m4 - 0.050625*m5 + 1.0*Ixx3,0.001658
Ixx6 + 1.0*Izz5,-0.000854
Ixy2,-0.389333
Ixy3,0.035211
Ixy4,7.14
Ixy5,2.48
Ixy6,8.26
Ixz2 - 0.007875*m6 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5,6.34
Ixz3,0.772006
Ixz4,0.127
Ixz5,-0.102
Ixz6,3.03
Iyy2 + 0.050625*m6 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 - 1.0*Ixx2,0.282
Iyy4 + 0.45*my3 - 1.0*Iyy3 - 0.050625*m6 - 0.050625*m4 - 0.050625*m5 + 1.0*Ixx3,0.035545
Iyy5 + 0.45*my3 - 1.0*Iyy3 - 0.050625*m6 + 1.0*Ixx4 - 0.050625*m4 - 0.050625*m5 + 1.0*Ixx3,0.392
Iyy6 + 1.0*Izz5,-0.629334
Iyz2,0
Iyz3,-0.193419
Iyz4,-0.0288
Iyz5,0.387304
Iyz6,0.62564
Izz3 + 1.0*Iyy3 - 1.0*Ixx3,-0.000785
Izz4 - 0.45*my3 + 1.0*Iyy3 + 0.050625*m6 - 1.0*Ixx4 + 0.050625*m4 + 0.050625*m5 - 1.0*Ixx3,0.050582
Izz6,0.779703
mx2 + 0.225*m6 + 0.225*m3 + 0.225*m4 + 0.225*m5,0.0105
mx3,0.0468
mx4,0.895855
mx5,0.0313
mx6,0.326
my2,0.0988
my4 + 1.0*mz5,-0.106747
my6,-0.525975
mz4 - 1.0*my3 + 0.225*m6 + 0.225*m4 + 0.225*m5,1.11
mz6 - 1.0*my5,0.379312
off1,5.53
off2,8.05
off3,1.97
off4,1.86
off5,0.65
off6,1.37
